Name,Ingredients,Cuisine
Vannisa's Chicken Parmesan Pizza,"cooked chicken,garlic powder,italian seasoning,parmesan cheese,pizza sauce,refrigerated crescent dinner rolls",italian
Chicken Nuggets Parmesan,"breaded chicken nuggets,mozzarella cheese,parmesan cheese,pasta sauce",italian
Palak Paneer (Indian Fresh Spinach With Paneer Cheese),"Baby Spinach,chopped tomatoes,cinnamon,coriander powder,garam masala,garlic,ground cardamom,ground ginger,heavy cream,onions,paneer cheese,paprika,plain yogurt,salt",indian
Oven Baked  Vegetarian Samosas,"black pepper,cinnamon,curry powder,eggs,extra virgin olive oil,flour,fresh cilantro leaves,fresh gingerroot,fresh mint leaves,frozen peas,garlic cloves,ground allspice,ground coriander,ground cumin,idaho potatoes,jalapeno peppers,limes,onions,pie dough,roma tomatoes,salt,sugar,vegetable stock",indian
Onion  Bhaji,"baking powder,chili powder,cumin seeds,fennel seeds,fresh coriander leaves,gram flour,green chilies,oil,onion seeds,onions,turmeric,water",indian
Gulab Jamun (Indian Milk Balls),"all-purpose flour,baking soda,butter,cardamom pods,milk,oil,powdered milk,saffron threads,sugar,water",indian
Mango Mint Chutney,"curry powder,extra virgin olive oil,ginger,honey,lemons,mangoes,mint,red chili pepper flakes,water,white wine vinegar,yellow onions",indian
Puran Poli,"ghee,green cardamom pods,nutmeg,oil,pigeon peas,saffron strands,salt,sugar,water,whole wheat flour",indian
Ginger Lemonade Sekanji,"cumin,ginger,lemon juice,mint,rock salt,sugar,water",indian
Chicken Tikka Tomato Masala,"bay leaves,black peppercorns,blanched almonds,boneless chicken breasts,cheese slices,cinnamon sticks,cloves,coriander leaves,coriander seeds,cumin seeds,desiccated coconut,double cream,dried fenugreek leaves,garam masala,garlic paste,ghee,ginger paste,green cardamom pods,green chilies,ground cumin,honey,lemon juice,mustard oil,onions,paprika,red chili powder,salt,tomato paste,tomatoes,turmeric,yogurt",indian
Naan,"baking powder,flour,plain low-fat yogurt,salt",indian
Gajar Ka Halwa (Carrot Halwa),"almonds,cardamom powder,carrots,edible silver foil,evaporated milk,ghee,khoya,saffron,sugar,water",indian
"Dal Chilla from Chai, Chaat & Chutney","chutney,coriander leaves,fresh gingerroot,green chili peppers,onions,salt,semolina,split yellow lentils,sunflower oil,water",indian
The Best Biryani,"basmati rice,bay leaves,black cardamom pods,black peppercorns,canola oil,chicken,chili powder,cinnamon sticks,coriander powder,cumin powder,curry powder,diced tomatoes,dried plums,fresh cilantro,fresh green chilies,garam masala,garlic paste,ginger paste,goat meat,green cardamom pods,onions,saffron,salt,water,whole cloves,yogurt",indian
Batata Vada (Potato Balls in a Gram Flour Crust),"asafoetida powder,baking soda,besan,chili powder,fresh cilantro,garlic,ginger,ground cumin,mustard seeds,oil,potatoes,salt,turmeric powder,water",indian
Chicken Korma,"buttermilk,cardamom pods,chicken breast halves,cinnamon sticks,cloves,dried hot peppers,fresh coriander,garlic cloves,ground cardamom,ground cinnamon,ground cloves,ground cumin,oil,onions,salt,tomato sauce,water",indian
Mango Lassi (India),"granulated sugar,ground cardamom,ice cubes,mango pulp,salt,water,yogurt",indian
Delicious Homemade Instant Jalebis!,"all-purpose flour,baking soda,ghee,gram flour,oil,plain yogurt,sugar syrup,water",indian
Easy Kulfi (Ice Cream Without an Ice Cream Freezer!),"fat-free evaporated milk,flavoring,light cream,low fat  sweetened condensed milk",indian
Thandai (Indian Almond Drink),"almonds,anise seed,ground cardamom,orange flower water,peppercorns,poppy seeds,rose petals,rose water,sugar,sunflower seeds,water",indian
Burfi a La Yamuna - Indian Fudge,"brown sugar,butter,milk,nuts,powdered milk,white sugar",indian
Mur'mur'ya C'a Chiwda,"coconut,cumin seeds,curry leaves,dried red chilies,fresh ginger,hing,lime juice,oil,raisins,Rice Krispies,salt,sev,sugar,unsalted peanuts",indian
Shankarpale or Sweet Diamonds - Indian Cookies,"flour,oil,sugar,water",indian
Restaurant-Style Tandoori Chicken in the Oven!,"allspice,chicken,chili paste with garlic,fresh coarse ground black pepper,garlic,ground cayenne pepper,ground cinnamon,ground cumin,ground ginger,lemon juice,lemons,onions,plain yogurt,salt,smoked paprika",indian
Easy Crescent Samosa (Indian Style Sandwiches),"carrots,crescent rolls,cumin,curry powder,dried cilantro,frozen sweet peas,garlic cloves,ground ginger,honey,lemon juice,olive oil,onions,potatoes,red pepper flakes,salt,soy sauce,sweet peas,turmeric,water",indian
Indian Potatoes with Mustard Seeds (Sookhi Bhaji),"brown mustard seeds,cayenne pepper,cumin seeds,fresh cilantro,ground coriander,ground cumin,onions,potatoes,salt,serrano chilies,turmeric",indian
Indian Masala Chai,"black tea,cardamom pods,cinnamon sticks,cloves,fresh ground black pepper,granulated sugar,ground ginger,milk,water",indian
Chicken Makhani (Indian Butter Chicken),"bay leaves,black pepper,boneless skinless chicken thighs,butter,cayenne pepper,chili powder,cornstarch,garam masala,ginger-garlic paste,ground cumin,half-and-half,lemon juice,peanut oil,plain yogurt,salt,shallots,tomato puree,water,white onions",indian
Mini Strawberry Falooda,"rose water,strawberries,strawberry jam,tapioca,vanilla ice cream,whipped cream",indian
Tandoori Style Chicken,"cayenne pepper,fresh lime juice,garlic powder,ground cinnamon,ground cloves,ground coriander,ground cumin,ground ginger,ground turmeric,jalapeno chiles,plain yogurt,salt,serrano chilies,skinless chicken legs,skinless chicken thighs,vegetable oil",indian
Chappatis (Roti),"all-purpose flour,butter,flour,milk,oil,salt,water",indian
The Better Butter Chicken,"brown sugar,butter,chili powder,cooked basmati rice,crushed tomatoes,fresh cilantro,fresh ground black pepper,garlic,gingerroot,ground cinnamon,ground turmeric,light cream,light plain yogurt,light sour cream,onions,rotisserie-cooked chicken,salt,tomato paste",indian
Indian Lentil Soup (Dal Shorva),"bay leaves,cardamom,cayenne pepper,chicken stock,cumin,curry leaves,garlic cloves,ghee,lemons,mung beans,mustard seeds,red lentils,salt and pepper,turmeric,vegetable oil,vegetable stock,yellow lentils",indian
Spicy Indian Kofta,"beef,bell peppers,cilantro,eggs,garam masala,garlic,ginger,ground lamb,mint leaves,onions,potatoes,salt and pepper,turmeric",indian
Mattar Paneer - Indian Peas with Paneer Cheese,"cilantro,diced tomatoes,fresh ginger,frozen green peas,garlic,ghee,ground cayenne pepper,ground coriander,ground cumin,ground turmeric,onions,paneer cheese,salt,vegetable oil,water",indian
"Mango Lassi from CHAI, CHAAT & CHUTNEY","granulated sugar,green cardamom pods,ice cubes,mango pulp,milk,yogurt",indian
Gordon Ramsay's Tikka Masala,"boneless chicken breasts,chili powder,chopped tomatoes,dried curry leaves,fresh coriander,fresh ginger,fresh green chilies,garam masala,garlic cloves,onions,peanut oil,soft brown sugar,tomato puree,turmeric,yogurt",indian
Channa Masala,"amchoor powder,chickpeas,chopped tomatoes,fresh ginger,garam masala,garlic,green chili peppers,ground cayenne pepper,ground coriander,ground cumin,ground roasted cumin seeds,ground turmeric,lemons,onions,paprika,salt,vegetable oil,water",indian
"Sticky Bombay Chicken from CHAI, CHAAT & CHUTNEY","chili,dark brown sugar,dark soy sauce,five-spice powder,fresh ginger,garlic cloves,olive oil,salt,skinless chicken drumsticks,toasted sesame seeds",indian
"Tomato Chutney from CHAI, CHAAT & CHUTNEY","garlic cloves,granulated sugar,green chilies,salt,sunflower oil,tomatoes",indian
Mama Roy's Daughter's Chicken Curry,"cardamom,chicken drumsticks,chicken thighs,chili powder,chilies,cinnamon bark,cloves,cumin,garlic cloves,ginger,onions,salt,tomatoes,turmeric",indian
Aloo Paratha,"cilantro,flour,green chili peppers,mustard seeds,oil,onions,potatoes,salt,turmeric powder,water",indian
Chicken Meatball Tikka Masala,"basmati rice,black pepper,chilies,cilantro leaves,crushed red pepper flakes,crushed tomatoes,curry powder,eggs,fresh cilantro,fresh coarse ground black pepper,garam masala,garlic cloves,ghee,ginger,ground cardamom,ground chicken,ground coriander,ground cumin,ground turmeric,heavy cream,naan bread,plain breadcrumbs,salt,Thai peppers,tomato paste,vegetable oil,yellow onions",indian
Rogan Josh,"bay leaves,boneless lamb shoulder,cayenne pepper,chicken,cinnamon sticks,cumin seeds,fresh ginger,fresh ground pepper,garam masala,garlic cloves,ground coriander,onions,paprika,peppercorns,plain yogurt,salt,stewing beef,vegetable oil,water,whole cardamom pods,whole cloves",indian
Saag Bhaji,"canola oil,cumin seeds,dried chilies,frozen chopped spinach,salt",indian
Vada Pav - the Indian Burger,"black salt,bread,chutney,cilantro,cilantro chutney,cumin seeds,dry roasted peanuts,fresh lemon juice,garlic cloves,ground turmeric,hamburger buns,idaho potatoes,mango powder,mint,pomegranate seeds,red chili pepper flakes,red chili powder,red onions,sev,sugar,table salt,unsalted margarine,vegetable oil,water",indian
Perfect Dosa,"buttermilk,fenugreek seeds,rice flour,salt,urad dal four,vegetable oil",indian
Gobi Manchurian (Cauliflower in a Sweet Sour Spicy Sauce),"all-purpose flour,cauliflower,cornstarch,garlic paste,ginger paste,ketchup,oil,salt & freshly ground black pepper,sesame seeds,soy sauce,spring onions,sriracha sauce,vegetable oil,water,white vinegar",indian
Appams,"baking soda,coconut,cooked rice,dry active yeast,milk,rice,salt,sugar",indian
Cucumber Yoghurt Raita,"cucumbers,cumin seeds,fresh ginger,fresh mint,garlic cloves,lemon juice,plain yogurt,salt and pepper,spring onions",indian
Pani Puri,"baking powder,chat masala,chickpeas,cold water,coriander leaves,cumin powder,ginger paste,green chili paste,mango powder,mint powder,oil,onions,potatoes,red chili powder,refined flour,salt,semolina,sev,water",indian
Tomato Poha,"cilantro,cumin seeds,curry leaves,green chilies,lime juice,mustard seeds,nuts,oil,onions,poha,potatoes,red chili powder,salt,tomatoes,turmeric powder",indian
Medu Vada,"cilantro,green chili peppers,hing,oil,onions,salt,Urad Dal",indian
Flat Rice Bread from Southern India: Uttapam,"asafetida powder,baking soda,basmati rice,coriander seeds,curry leaves,diced tomatoes,dried red chilies,eggplants,fenugreek seeds,fresh cilantro leaves,ghee,grated fresh coconut,green chili peppers,ground turmeric,mustard seeds,onions,salt,sugar,tamarind pulp,vegetable oil,white lentils,yellow lentils",indian
Idli,"cooked rice,salt,Urad Dal",indian
Falooda -- Easy and Delicious,"chinese noodles,falooda seeds,ice cream,milk,pista,rose water",indian
Papadams,"black pepper,cayenne,garlic,gram flour,ground cumin,oil,salt,water",indian
Venn Pongal,"black peppercorns,butter,cashews,cumin seeds,curry leaves,fresh ginger,ghee,gram dal,salt,uncooked rice",indian
South Indian Filter Coffee Using Italian Moka Pot (3 Cupper),"coffee,milk,sugar,water",indian
Egg Curry,"chili powder,chopped tomatoes,coriander powder,cumin powder,fresh ginger,garam masala,garlic,hard-boiled eggs,oil,onions,salt,tomato paste,turmeric,water",indian
Sweet Potato Curry With Spinach and Chickpeas,"basmati rice,brown rice,canola oil,chickpeas,cinnamon,cumin,curry powder,diced tomatoes,fresh cilantro,fresh spinach,scallions,sweet onions,sweet potatoes,water",indian
Indian Lamb Curry,"bay leaves,black cardamom pods,boneless lamb,cayenne pepper,cinnamon sticks,coriander powder,diced tomatoes,fresh cilantro leaves,garam masala,garlic,ginger paste,green chili peppers,onions,peppercorns,plain yogurt,salt,turmeric,vegetable oil,whole cloves",indian
Super Easy Naan Bread,"active dry yeast,flour,salt,sugar,warm water",indian
Chicken Vindaloo,"brown sugar,butter,cayenne pepper,chicken,cumin powder,distilled white vinegar,dried tamarind,garlic cloves,ghee,ginger powder,ground cinnamon,ground cloves,hot water,lemon juice,paprika,salt,salt & freshly ground black pepper,turmeric,water,yellow mustard seeds,yellow onions",indian
Indian Samosa,"all-purpose flour,cilantro,coriander seeds,garam masala,garlic,ginger,green chilies,lemons, juice of,oil,onions,potatoes,red chili powder,salt,turmeric,vegetable oil",indian
Plain Raita,"black pepper,coriander leaves,cumin seeds,salt,yoghurt",indian
Saffron Rice,"basmati rice,boiling water,butter,chicken broth,cinnamon sticks,ghee,ground cardamom,minced garlic cloves,onions,saffron threads,salt,whole cloves",indian
Pumpkin Chutney,"apples,cider vinegar,fresh gingerroot,light brown sugar,mustard seeds,pumpkin flesh,red chilies,salt",indian
Sindhi Biryani,"basmati rice,bay leaves,black cardamom pods,black pepper,cinnamon sticks,cloves,coriander leaves,cumin seeds,garlic paste,ginger,green cardamoms,green chilies,mint leaves,mutton,oil,onions,orange food coloring,potatoes,prunes,red chili powder,salt,tomatoes,yogurt",indian
Potato and Coriander Samosas,"baking powder,butter,cumin seeds,eggs,fresh coriander leaves,fresh ginger,frozen baby peas,garam masala,green onions,Madras curry powder,oil,plain flour,plain yogurt,potatoes,salt,sultanas",indian
Khichdi,"ginger paste,green chili peppers,mung beans,olive oil,onions,rice,salt,tomatoes,turmeric,white vinegar,whole cumin seeds",indian
Tandoori Paste,"cayenne,chili powder,coriander,cumin,dry mustard,fennel,garlic powder,ginger,lime juice,paprika,salt,turmeric,yogurt",indian
Gulab Jamun,"butter,cardamom powder,flour,ghee,milk,powdered milk,rose extract,rose water,saffron,self-rising flour,sugar,water",indian
Chapati (Indian Flat Bread),"all-purpose flour,chapati,ghee,salt,warm water,whole wheat flour",indian
Prawn (Shrimp) Pakoras,"besan flour,bicarbonate of soda,fresh coriander,garlic cloves,ginger,ground red chili pepper,prawns,red onions,salt,tomatoes,vegetable oil",indian
Aloo Channa Chaat (Tangy Potato Chickpea Snack),"brown sugar,fresh cilantro leaves,garbanzo beans,mild chili powder,potatoes,salt,shallots,tamarind paste,water",indian
Dum Aloo (Fried Potatoes in Spicy Sauce ),"baby potatoes,chili powder,cilantro,cinnamon sticks,coriander powder,cumin seeds,fennel seeds,garam masala,ginger-garlic paste,green cardamoms,oil,onions,salt,sugar,tomatoes,turmeric powder,water",indian
Chicken Korma a'la Eve,"chicken stock,curry powder,flour,fresh coriander,garlic,ground cinnamon,lean chicken,natural yoghurt,onions,salt and pepper,vegetable oil",indian
Gajar Halva (Carrot Pudding  -  an Indian Dessert),"brown sugar,butter,carrots,golden raisins,ground cardamom,half-and-half,margarine,pistachios,salt,slivered almonds",indian
My Addictive Besan(Gram flour) Ladoo- will leave u licking ur fingers clean!,"almonds,cardamom,cashews,ghee,gram flour,sugar",indian
Pista Cashewnut Poli / Nuts Puran Poli,"cardamom pods,cashews,dry coconut powder,ghee,maida flour,pista,salt,sugar,turmeric powder",indian
Fragrant Rice Pudding With Pistachios (Kheerni),"bananas,basmati rice,blanched almonds,ground cardamom,milk,saffron threads,sugar,unsalted pistachio nuts",indian
Onion Bhaji,"chili powder,cumin powder,flour,onions,salt,turmeric,vegetable oil,vinegar",indian
Seviyan - Sweet Asian Vermicelli (Toasted),"green cardamom pods,pistachios,slivered almonds,sugar,sunflower oil,vermicelli,whole milk",indian
Raisin Chutney,"cayenne,fresh ginger,lemons,raisins,salt,water",indian
Makki Ki Roti (Punjabi Cornbread),"boiling water,butter,cornmeal,salt",indian
Tom Kha Gai,"brown sugar,chicken breasts,chicken stock,coconut milk,fish sauce,fresh cilantro,fresh galangal root,fresh gingerroot,kaffir lime leaves,lemongrass,lime juice,roma tomatoes,straw mushrooms,thai chili paste,Thai red chili peppers",thai
Kao Pad (Thai-Style Fried Rice),"bean sprouts,bell peppers,carrots,chili sauce,cooked rice,eggs,fresh gingerroot,fresh tomatoes,garlic cloves,green beans,green peas,light soy sauce,limes,limes, juice of,scallions,vegetable oil",thai
Larb Chicken,"dried red chilies,fish sauce,fresh cilantro,fresh lime juice,green onions,ground chicken,ground galangal,iceberg lettuce,lemongrass,mint leaves,red onions,rice,vegetable oil",thai
Shrimp and Coconut Curry With Green Beans,"canned unsweetened coconut milk,curry powder,fresh basil,fresh cilantro,fresh ginger,green beans,jalapeno chiles,lemongrass,lime wedges,medium shrimp,shallots,vegetable oil,water",thai
Thai Spicy Basil Beef,"beef,chilies,cilantro,fish sauce,fresh basil leaves,garlic,oil,onions,oyster sauce,red bell peppers,sugar,white pepper",thai
My O My.. Best Thai Beef Salad Ever!,"basil leaves,brown sugar,cilantro leaves,fish sauce,kaffir lime leaves,lime juice,mint leaves,palm sugar,red chilies,red onions,salad greens,sirloin steaks,soya sauce",thai
Spicy Thai Peanut Chicken Curry,"brown sugar,chicken breasts,coconut milk,cooked jasmine rice,creamy peanut butter,fish sauce,limes,peanut oil,peanuts,red curry paste,sambal oelek",thai
Pad Thai (Thai Stir-Fried Noodles),"bean sprouts,black pepper,boneless skinless chicken breasts,brown sugar,eggs,fish sauce,fresh cilantro,fresh lime juice,garlic,green onions,oyster sauce,paad Thai sauce,rice noodles,roasted peanuts,shallots,soy sauce,vegetable oil,white vinegar",thai
Chicken Satay,"bamboo skewers,black pepper,boneless skinless chicken breasts,brown sugar,coconut milk,fish sauce,fresh cilantro leaves,garlic,ground coriander,ground cumin,lemon juice,oil,peanut sauce,romaine lettuce leaves,soy sauce,turmeric,vegetable oil",thai
Thai Noodles With Spicy Peanut Sauce,"carrots,chili-garlic sauce,creamy peanut butter,fresh garlic,fresh ginger,green onions,ground ginger,honey,linguine,rice vinegar,sesame oil,soy sauce,stir fry vegetables",thai
Thai Iced Tea,"cardamom pods,cinnamon,cloves,half-and-half,sugar,tea leaves,water",thai
Thai Coconut Rice,"basmati rice,coconut milk,crushed red pepper flakes,crystallized ginger,fresh ginger,jasmine rice,long grain rice,salt,sliced almonds,sugar,turmeric,water",thai
Awesome Thai Chicken Coconut Curry,"boneless skinless chicken breasts,brown sugar,coconut milk,fish sauce,fresh ginger,garlic cloves,green onions,lemongrass,pineapple chunks,red curry paste,salt,vegetable oil,water",thai
Panang Curry - Beef,"beef,coconut milk,fresh garlic,garlic powder,ginger,lemongrass,onion powder,panang curry paste,red chilies,sugar",thai
Pad See-Ew,"beef,broccoli,chicken,cooking oil,dried rice noodles,eggs,garlic cloves,ground black pepper,light soy sauce,oyster sauce,pork,shrimp,sugar,sweet soy sauce",thai
Hot And Sour Vermicelli Salad (Yam Wun Sen),"black fungus mushrooms,button mushrooms,carrots,celery,chili powder,cooking oil,coriander leaves,garlic,lemon juice,lettuce,light soy sauce,shallots,spring onions,sugar,vegetable stock,vermicelli",thai
Chicken Khao Soi,"boneless skinless chicken thighs,brown sugar,chicken broth,Chinese egg noodles,cilantro,curry powder,dried guajillo chilies,fish sauce,garlic cloves,ginger,ground coriander,ground turmeric,palm sugar,ramen noodles,red onions,rice noodles,shallots,unsweetened coconut milk,vegetable oil",thai
Red Curry Paste (Gaeng Pet),"coriander powder,coriander roots,dried red chilies,fresh lime leaves,galangal,garlic,ground cumin,kaffir lime zest,lemongrass,salt,shrimp paste,white pepper",thai
Quick & Easy Shrimp Pad Thai,"bean sprouts,cherry tomatoes,cilantro,crunchy peanut butter,dark brown sugar,fish sauce,lime slices,limes, zest of,roasted peanuts,sambal oelek chili paste,shrimp,Thai rice noodles,vegetable oil",thai
Thai Chicken & Cashews,"boneless skinless chicken breasts,cashews,celery,chicken stock,cooked rice,dried red chili peppers,fish sauce,garlic cloves,green peppers,olive oil,onions,oyster sauce,sugar,water",thai
Slow Cooker/Crock Pot Massaman Curry,"bay leaves,beef brisket,cinnamon sticks,coconut cream,coriander,curry paste,fish sauce,lemon juice,onions,palm sugar,peanut oil,potatoes,roasted peanuts,salt,tamarind paste,water",thai
Thai Lemongrass and Chile Soup (Tom Yum),"chili paste,fish sauce,fresh cilantro,fresh ginger,fresh lime juice,garlic,hot green chili peppers,kaffir lime leaves,lemongrass,oyster mushrooms,rice noodles,soy sauce,tomatoes,vegetable broth,vegetable oil,white mushrooms",thai
Thai Mango with Sticky Rice (Mamuang Kao Nieo),"coconut cream,coconut milk,glutinous rice,salt,sugar,sweet mangoes",thai
Thai Grilled Chicken With Honey-Chili Glaze,"brown sugar,cider vinegar,coconut milk,dry roasted salted peanuts,flaked coconut,fresh cilantro,fresh ginger,fresh ground black pepper,honey,jalapenos,lemongrass,rice vinegar,salt,scallions,skinless chicken thighs",thai
"Linda's Thai  Sweet Chili  Sauce for Dipping (Egg Rolls, Sushi)","chili peppers,cornstarch,fresh garlic,gingerroot,rice vinegar,salt,sambal oelek,sugar,water",thai
Thai Drunken Noodles,"bean sprouts,broccoli,brown sugar,canola oil,chili paste,extra firm tofu,flat rice noodles,garlic,oyster sauce,red onions,soy sauce,Thai basil,Thai chiles",thai
Green Beans & Tofu With Crunchy Thai Peanut Sauce,"canola oil,cilantro,firm tofu,fresh ginger,fresh green beans,fresh lemon juice,garlic,hot water,lemon zest,peanut butter,peanut oil,red pepper flakes,salt,soy sauce,sugar,unsalted peanuts,vinegar",thai
Tom Yum Gai (Thai Hot & Sour Chicken Soup),"button mushrooms,chicken stock,chili paste,extra firm tofu,fish sauce,fresh cilantro,fresh ginger,green onions,kaffir lime leaves,lemongrass,lime juice,mushroom stock,onions,peanut oil,serrano chilies,skinless chicken breasts,straw mushrooms,sugar,tomatoes",thai
Chicken and Mango Curry,"boneless skinless chicken breasts,brown sugar,chicken broth,chicken thigh pieces,cilantro,coconut milk,curry paste,fish sauce,garlic,ginger,green bell peppers,mangoes,onions,peanut oil,red bell peppers,red curry paste,stock,straw mushrooms,vegetable oil,white rice",thai
Thai Basil Vegetables,"carrots,cilantro,cornstarch,fish sauce,fresh basil,garlic,ginger,limes, juice of,sambal oelek chili paste,sliced mushrooms,soy sauce,sugar,vegetable oil,zucchini",thai
Thai Stir-Fried Vermicelli (Pad Wun-Sen),"black pepper,canola oil,carrots,cayenne pepper,dried shrimp,fish sauce,fresh cilantro,garlic,green onions,onions,pork loin,rice vermicelli",thai
Tender Thai Chicken with Basil,"basil,basil leaves,chicken breast tenders,garlic cloves,hot red pepper flakes,jasmine rice,lime zest,oyster sauce,salt,shiitake mushrooms",thai
Green Papaya Salad from Quick & Easy Thai Recipes,"chilies,dried shrimp,fish sauce,fresh lime juice,garlic cloves,jaggery,jicama,light brown sugar,limes,papayas,plum tomatoes,roasted peanuts,yard-long beans",thai
Crock Pot Thai Chicken Thighs,"boneless skinless chicken thighs,cilantro salsa,ginger,lime juice,peanut butter,soy sauce",thai
Bangkok Style Chicken Pad Thai,"brown sugar,chicken breasts,chili sauce,cooking oil,eggs,fish sauce,fresh bean sprouts,fresh cilantro,fresh lime juice,garlic,green onions,lime peel,rice noodles,rice vinegar,salted peanuts",thai
Spicy Thai Peanut Sauce With Chicken and Rice Noodles,"apple cider vinegar,broccoli,carrots,chicken breasts,creamy peanut butter,garlic,green onions,ground ginger,honey,hot chili oil,olive oil,soy sauce,Thai rice noodles",thai
Asian Slaw With Spicy Thai Vinaigrette,"black pepper,carrots,chili-garlic sauce,fresh basil,fresh cilantro leaves,fresh ginger,fresh ground black pepper,fresh lime juice,fresh mint leaves,garlic,green cabbage,green onions,ground coriander,honey,kosher salt,napa cabbage,peanut oil,red bell peppers,red cabbage,rice wine vinegar,toasted sesame oil,toasted sesame seeds",thai
Gaeng Keow Wan Gai - Thai Green Curry Chicken,"boneless skinless chicken,coconut milk,fish sauce,fresh lime leaves,fresh sweet basil leaves,green curry paste,green peas,Laos powder,serrano chilies",thai
Thai Cucumber Salad,"brown sugar,canola oil,carrots,cilantro,dry roasted peanuts,fresh lime juice,garlic,jalapenos,lime zest,red bell peppers,red onions,rice wine vinegar,salt and pepper,seedless cucumber",thai
Yum Nua - Thai Beef Salad,"cilantro stems,cucumbers,fish sauce,fresh lime juice,garlic,lemongrass,light brown sugar,mint leaves,New York strip steaks,palm sugar,romaine lettuce leaves,salt and pepper,shallots,Thai chiles,vegetable oil",thai
Vegetarian Panang Curry,"brown sugar,canola oil,coconut milk,extra firm tofu,fresh ginger,fresh lime juice,garlic cloves,ground cumin,kale,lime zest,maple syrup,peanut butter,roasted cashews,sea salt,shallots,sweet potatoes,Thai red curry paste,turmeric,water",thai
Green Curry Paste (Gaeng Kiow Wan),"coriander powder,coriander root,fresh lime leaves,galangal,garlic,green chilies,ground cumin,kaffir lime zest,lemongrass,salt,shallots,shrimp paste,white pepper",thai
Ginger Beef Stir-Fry (Pad Khing Nuah),"beef rump,fish sauce,fresh ginger,garlic cloves,green onions,olive oil,oyster sauce,palm sugar,peanut oil,snake beans,soy sauce,Thai basil",thai
Thai Sticky Pudding (Kanom Nam Tan),"coconut,coconut cream,palm sugar,pandanus leaves,rice flour,salt,tapioca flour",thai
Chiang Mai Curry Noodles (Kao Soi),"angel hair pasta,boneless chicken,chicken broth,chinese noodles,curry powder,dark soy sauce,flank steaks,fresh Chinese noodles,fresh cilantro,garlic,green onions,ground turmeric,lime juice,panang curry paste,red curry paste,salt,shallots,soy sauce,spaghetti,sugar,tri-tip steak,unsweetened coconut milk,vegetable oil",thai
Thai Black Rice Pudding,"black rice,coconut milk,cold water,salt,sugar",thai
Classic Chicken Pad Thai,"brown sugar,canola oil,chicken breasts,cilantro,cooked noodles,cooked pasta,creamy peanut butter,curry powder,dark sesame oil,dry roasted peanuts,frozen sugar snap peas,garlic cloves,gingerroot,light soy sauce,lime juice,low-fat coconut milk,onions,red pepper flakes,rice wine vinegar",thai
Tiger Cries Salad  (a Spicy Thai Beef Salad),"beef flank steak,beef sirloin steaks,beef tenderloin,bibb lettuce,cherry tomatoes,cucumbers,fish sauce,fresh lime juice,garlic,grape tomatoes,green onions,lemongrass,lemons,mint leaves,palm sugar,red onions,rice powder,salad greens,scallions,serrano peppers,shallots,sticky rice,sugar,tomatoes,white pepper",thai
Pork Larb With Fresh Herbs,"canola oil,chili flakes,coriander leaves,fish sauce,fresh chili peppers,kaffir lime leaves,lemongrass,lettuce,lime juice,mint leaves,pork mince,red chilies,red onions,rice powder,roasted peanuts,shallots,spring onions",thai
Thai Mee Krob W/ Stir-Fried Pork and Chicken,"Asian noodles,bean sprouts,cilantro,fresh jalapenos,garlic cloves,ground chicken,ground pork,light brown sugar,limes, juice of,palm sugar,peanut oil,scallions,seasoned rice vinegar,shallots,soy sauce,Thai fish sauce,vermicelli",thai
Thai Coconut Grilled Chicken Thighs,"blackstrap molasses,boneless skinless chicken thighs,cracked black pepper,fresh gingerroot,garlic cloves,green onions,honey,hot sauce,red onions,seasoned rice vinegar,sesame oil,Thai basil,unsweetened coconut milk,water",thai
Thai Red Rice Pudding,"brown sugar,coconut milk,golden raisins,ground cardamom,half-and-half,lemon zest,long grain white rice,milk,pistachio nuts,red rice,rose water,salt,water",thai
Thai Peanut Stir-Fry Sauce,"brown sugar,cayenne pepper,creamy peanut butter,garlic powder,ground ginger,rice wine vinegar,soy sauce",thai
Bangkok Chicken Curry,"bamboo shoots,boneless skinless chicken breasts,brown rice,canola oil,chilies,cracked black pepper,curry paste,fish sauce,fresh basil,garlic cloves,green bell peppers,light coconut milk,onions,red bell peppers,salt,sriracha sauce",thai
La Choy Bamboo Beef,"bamboo shoots,beef broth,chow mein noodles,cold water,cornstarch,fresh mushrooms,mandarin oranges,onions,peanut oil,reduced sodium soy sauce,round steaks,sliced water chestnuts",thai
Kimchi or Kimchee,"daikon radishes,fish sauce,garlic,green onions,korean radishes,napa cabbage,red pepper flakes,rice flour,salt,shrimp sauce,sugar,water",korean
Kimchi Jjigae (Korean Kimchi Soup),"black pepper,chili flakes,chili paste,garlic,green chili peppers,green onions,mushrooms,pork loin,rice wine,sour kimchee,soy sauce,tofu,vegetable oil,water,white onions",korean
Korean Beef BBQ,"brown sugar,cooking spray,dark sesame oil,garlic cloves,ginger,jasmine rice,mirin,soy sauce,top sirloin steaks",korean
Chapchae (Noodles With Beef and Mixed Vegetables),"beef eye round,brown sugar,carrots,cellophane noodles,cooking spray,cornstarch,crushed red pepper flakes,dark sesame oil,fresh ginger,fresh spinach,garlic cloves,gochujang ,green onions,low sodium soy sauce,rice vinegar,sambal oelek,sesame seeds,shiitake mushroom caps,vegetable oil",korean
